	SRR17060816_R2_filtered.fastq.gz	SRR17060817_R2_filtered.fastq.gz	SRR17060818_R2_filtered.fastq.gz	SRR17060819_R2_filtered.fastq.gz	SRR17060820_R2_filtered.fastq.gz	SRR17060821_R2_filtered.fastq.gz	SRR17060822_R2_filtered.fastq.gz	SRR17060823_R2_filtered.fastq.gz	SRR17060824_R2_filtered.fastq.gz	SRR17060825_R2_filtered.fastq.gz	SRR17060826_R2_filtered.fastq.gz	SRR17060827_R2_filtered.fastq.gz	SRR17060828_R2_filtered.fastq.gz	SRR17060829_R2_filtered.fastq.gz	SRR17060830_R2_filtered.fastq.gz	SRR17060831_R2_filtered.fastq.gz	SRR17060832_R2_filtered.fastq.gz	SRR17060833_R2_filtered.fastq.gz	SRR17060834_R2_filtered.fastq.gz	SRR17060835_R2_filtered.fastq.gz	SRR17060836_R2_filtered.fastq.gz	SRR17060837_R2_filtered.fastq.gz	SRR17060838_R2_filtered.fastq.gz	SRR17060839_R2_filtered.fastq.gz	SRR17060840_R2_filtered.fastq.gz	SRR17060841_R2_filtered.fastq.gz	SRR17060842_R2_filtered.fastq.gz	SRR17060843_R2_filtered.fastq.gz	SRR17060844_R2_filtered.fastq.gz	SRR17060845_R2_filtered.fastq.gz	SRR17060846_R2_filtered.fastq.gz	SRR17060847_R2_filtered.fastq.gz
ASV_34	1779	174	26	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15594	0	0	0	0	0	0	0	0	0	0	22	0
ASV_35	61	1038	2578	49	1771	763	0	0	1949	0	0	0	0	0	30	2298	204	1458	0	177	165	0	461	0	0	0	0	0	0	0	2155	2364
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11933	0	0	4983	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	695	66	0	0	0	14901	0	473	0	0	0	0	0	0	0	81	0
ASV_38	116	3061	88	1371	3267	4051	0	0	636	0	0	0	0	0	0	67	1880	389	0	152	76	0	76	0	0	0	0	0	0	0	778	182
ASV_39	0	0	0	0	0	0	0	0	523	0	0	0	0	0	23	9034	0	3926	0	0	83	11	2161	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	0	371	0	0	209	2097	91	244	0	0	0	0	0	0	0	0	0	0	187	8720	2536	554	96	517	50	0	0
ASV_41	84	689	4159	591	2727	4258	0	0	427	0	0	0	0	0	0	0	1311	239	0	385	0	0	0	0	0	0	0	0	0	0	347	121
ASV_42	0	0	0	0	0	0	5359	572	0	6407	0	312	2506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	82	260	3409	0	939	435	0	0	1278	0	0	0	0	0	0	3576	306	709	0	41	1003	0	237	0	0	0	0	0	0	0	467	1969
ASV_44	0	412	1600	0	1448	1420	0	0	1854	0	0	0	0	0	28	3815	646	1079	0	223	0	0	501	0	0	0	0	0	0	0	1156	334
ASV_45	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13810	0	0	0	0	0	0	0	0	0	0	38	0
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	10096	0	0	4141	0	0	0	0	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	31	3615	0	7617	0	0	0	0	1436	0	0	0	0	0	0	0	0	0
ASV_48	182	1760	3059	0	222	1417	0	0	2964	0	0	0	0	0	0	0	627	1837	0	0	0	0	0	0	0	0	0	0	0	0	507	1274
ASV_49	0	0	0	0	0	0	1299	581	0	1499	0	103	9400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0
ASV_50	0	0	0	0	494	0	0	0	92	0	0	0	0	0	43	144	56	0	0	0	0	0	0	0	0	0	0	0	0	0	12194	0
ASV_51	0	215	559	0	2354	107	0	0	1297	0	0	0	0	0	0	3834	44	919	0	25	1292	0	620	0	0	0	0	0	0	0	472	1233
ASV_52	2684	345	16	2726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6916	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	0	4531	0	0	2548	0	0	0	0	0	0	0	2244	1397	0	0	0	0	0	0	0	0	0	0	0	0	0	1381
ASV_54	794	126	0	706	0	0	0	0	0	0	0	0	0	0	0	3491	0	0	0	3964	0	0	2645	0	0	0	0	0	0	0	0	0
ASV_55	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	0	0	0	0	0	0	0	0	0	2863	8768
ASV_56	1874	244	0	4891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4551	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10648	0	724	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	335	896	0	3505	1422	0	0	1010	0	0	0	0	0	0	0	757	628	0	62	0	0	0	0	0	0	0	0	0	0	695	1808
ASV_59	0	0	0	3267	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4852	0	0	0	0	0	0	0	0	0	0	976	273
ASV_60	0	0	0	0	23	0	0	0	0	0	0	0	0	0	87	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	10692	0
ASV_61	451	0	0	846	0	4430	0	0	0	0	0	0	0	0	0	0	2149	0	0	2933	0	0	0	0	0	0	0	0	0	0	78	0
ASV_62	0	0	0	0	0	0	581	1342	0	633	0	242	2808	0	0	0	0	0	0	0	0	0	0	0	544	578	280	3780	40	0	0	0
ASV_63	27	290	503	0	1407	0	0	0	140	0	0	0	0	0	0	95	0	149	0	192	0	0	206	0	0	0	0	0	0	0	3211	4464
ASV_64	4955	632	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4707	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	1524	195	32	2282	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6462	0	8	0	0	0	0	0	0	0	0	25	0
ASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5666	0	0	4856	0	0	0	0	0	0	0	0	0	0
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6239	0	0	4122	0	0	0	0	0	0	0	0	0	0
ASV_68	0	952	180	0	329	4754	0	0	674	0	0	0	0	0	0	0	2131	332	0	0	0	0	0	0	0	0	0	0	0	0	810	75
ASV_69	0	0	0	0	0	0	1527	205	0	1027	1458	2962	228	0	0	0	0	0	0	0	0	0	0	0	691	428	1167	291	0	38	0	0
ASV_70	0	0	0	0	0	0	861	753	0	358	2626	15	34	46	0	0	0	0	0	0	0	0	0	214	582	545	1502	363	2034	34	0	0
ASV_71	0	85	436	0	1760	1452	0	0	1679	0	0	0	0	0	0	0	765	1178	0	158	0	0	371	0	0	0	0	0	0	0	368	1675
ASV_72	1103	134	0	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7607	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	1106	99	660	2511	0	0	1178	0	0	0	0	0	0	0	1251	629	0	710	0	0	0	0	0	0	0	0	0	0	1373	129
ASV_74	0	385	1150	0	1689	205	0	0	965	0	0	0	0	0	0	378	0	697	0	0	0	0	0	0	0	0	0	0	0	0	3831	262
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5619	3786	0	0	0	0
ASV_76	0	0	103	0	348	57	0	0	119	0	0	0	0	0	0	6620	0	416	0	0	237	0	802	0	0	0	0	0	0	0	435	128
ASV_77	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	7596	0	338	0	0	0	0	911	0	0	0	0	0	0	0	0	0
ASV_78	2911	439	66	1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3368	0	0	0	0	0	0	0	0	0	0	0	0
ASV_79	0	0	0	0	0	0	1466	1306	0	659	128	31	329	0	0	0	0	0	0	0	0	0	0	0	521	624	480	2462	105	446	0	0
ASV_80	0	0	954	88	2594	859	0	0	1400	0	0	0	0	0	0	0	338	836	0	102	0	0	0	0	0	0	0	0	0	0	848	443
ASV_81	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	4637	2353	665	186	269	226	0	0
ASV_82	0	0	0	0	0	0	2521	218	0	1169	0	316	4037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_83	22	215	1666	0	888	760	0	0	1659	0	0	0	0	0	21	0	281	872	0	31	0	0	0	0	0	0	0	0	0	0	721	996
